objectid,area,perimeter,permitpk,permitpk_i,code,neighborhood,number,acres,sqmiles,uniqueid,status,enforcement,grace_period,visitor_pass,monday,tuesday,wednesday,thursday,friday,saturday,sunday,other_time,hcmap,district,code_rpp,code_district,created_user,created_date,last_edited_user,last_edited_date,expiration_date,shape_area,shape_length
1685,,6583.4947902,40,2,C,WEST OAKLAND,0,26.058,0.04,1,Approved,,2 Hours,3 Days,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,None,None,,,Oakland,C,C - Oakland,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires July 1st,1140585.00140381,6505.44621658294
1686,,,,,KK,SOUTH SIDE FLATS,,,,,,,,,,,,,,,,,,,KK,KK - South Side Flats,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires August 1st,1640491.9413147,11587.284100335
1687,,3930.03592424,19,101,O,HOMEWOOD SOUTH,0,11.006,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None,,,S. Homewood-N. Point Breeze,O,O - S. Homewood-N. Point Breeze,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires October 1st,371999.055236816,2938.78263440119
1688,,13806.086015,34,82,K,SQUIRREL HILL NORTH,0,93.042,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Squirrel Hill,K,K - Squirrel Hill,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires August 1st,4052919.03082275,13806.0859797602
1689,,13806.086015,34,82,K,SQUIRREL HILL NORTH,0,93.042,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Squirrel Hill,K,K - Squirrel Hill,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires August 1st,77035.0970458984,1167.27824337509
1690,,7149.1459306,12,87,Y,SHADYSIDE,0,38.224,0.053,1,Approved,,2 Hours,3 Days,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,None,,,Shadyside,Y,Y - Shadyside,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires August 1st,1771786.45574951,9901.75505788738
1691,,8878.73577554,43,4,D,CENTRAL OAKLAND,0,93.141,0.147,1,Approved,,1 Hour,3 Days,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,None,,,Oakland,D,D - Oakland,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires September 1st,4057224.40795898,8878.73585751969
1692,,5342.31941288,5,39,R,BLOOMFIELD,0,10.663,0.014,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Bloomfield,R,R - Bloomfield,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires October 1st,979822.374389648,4144.41305805458
1693,,3930.03592424,19,101,O,HOMEWOOD SOUTH,0,11.006,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None,,,S. Homewood-N. Point Breeze,O,O - S. Homewood-N. Point Breeze,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires October 1st,667900.789367676,5511.65241046372
1694,,0,0,0,BB,FRIENDSHIP,0,48.56,0,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None,,,Bloomfield-Friendship,BB,BB - Bloomfield-Friendship,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires November 1st,33642.3063354492,981.116569581896
1695,,0,0,0,BB,FRIENDSHIP,0,48.56,0,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None,,,Bloomfield-Friendship,BB,BB - Bloomfield-Friendship,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires November 1st,3286148.48468018,11992.4585945341
1696,,7274.27066238,46,36,P,BLUFF,0,24.967,0.039,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Bluff,P,P - Bluff,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires November 1st,1252554.04766846,7758.49426369912
1697,,14069.2001637,4,84,H,BLOOMFIELD,0,146.859,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Bloomfield,H,H - Bloomfield,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires November 1st,6423313.72399902,14431.9194989231
1698,,7568.73974059,16,20,G,ALLEGHENY WEST,0,28.662,0.042,1,Approved,,1 Hour,3 Days,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,,,Allegheny West,G,G - Allegheny West,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires December 1st,1248531.34063721,7406.88424804127
